pDONR221 P5-P4	attP5,attP4_1
pDONR P4-P1r	attP4_2,attP1_4
pDONR221 P5-P2	attP5,attP2_1
pDONR223	attP1_1,attP2_1
pDONR221 P4r-P3r	attP4_1,attP3_1
pDONR222	attP2_1,attP1_1
pDONR221	attP1_1,attP2_1
pDONR221 P3-P2	attP3_1,attP2_1
pDONR221 P1-P5r	attP1_1,attP5
pDONR221 P1-P4	attP1_1,attP4_1
pDONR Zeo	attP2_1,attP1_3
pDONR201	attP1_2,attP2_2
pDONR207	attP1_2,attP2_2
pDONR P2r-P3	attP2_3,attP3_2
pDEST15	attR1,attR2
pDEST14	attR1,attR2
pcDNA6	attR1,attR2
pLenti6 UbC V5-DEST	attR1,attR2
pAd CMV V5-DEST	attR1,attR2
pLenti6 V5-DEST	attR1,attR2
pIB V5-His-DEST	attR2,attR1
pDEST17	attR2,attR1
pLenti6	attR1,attR2
pET-62-DEST	attR1,attR2
pAd PL-DEST	attR1,attR2
pHELLSGATE 12	attR1,attR2,attR2,attR1
pET104-DEST	attR1,attR2
pDEST R4-R3 Vector II	attR3,attR4_1
pEXP1-DEST	attR1,attR2
pDEST10	attR1,attR2
pSCREEN-iT lacZ-DEST	attR2,attR1
pET-57-DEST	attR2,attR1
pET-56-DEST	attR2,attR1
pBAD-DEST49	attR1,attR2
pAd BLOCK-iT-DEST	attR2,attR1
pT-REx-DEST30	attR2,attR1
pLenti6 capTEV-CT-DEST	attR1,attR2
pT-REx-DEST31	attR1,attR2
pEF-DEST51	attR1,attR2
pYES-DEST52	attR1,attR2
pLenti6 capTEV-NT-DEST1	attR1,attR2
pcDNA3	attR1,attR2
pEXP3-DEST	attR2,attR1
pMT-DEST48	attR1,attR2
pEXP2-DEST	attR1,attR2
pDEST8	attR2,attR1
pHELLSGATE 8	attR1,attR2,attR2,attR1
pET-54-DEST	attR2,attR1
pET-55-DEST	attR1,attR2
pLenti6 BLOCK-iT-DEST	attR1,attR2
pET-60-DEST	attR1,attR2
pET-61-DEST	attR1,attR2
pLenti7	attR1,attR2
pET104	attR1,attR2
pEF5 FRT V5-DEST	attR2,attR1
pDEST20	attR1,attR2
pLenti4 BLOCK-iT-DEST	attR1,attR2
pMT BioEase-DEST	attR2,attR1
pcDNA-DEST53	attR1,attR2
pcDNA-DEST47	attR1,attR2
pLenti4 V5-DEST	attR1,attR2
pET161-DEST	attR1,attR2
pET160-DEST	attR1,attR2
pDEST26	attR1,attR2
pEXP4-DEST	attR2,attR1
pDEST R4-R3	attR4_1,attR3
pDEST27	attR1,attR2
pET-53-DEST	attR2,attR1
pCOLA-2-DEST	attR1,attR2
pCOLA-3-DEST	attR1,attR2
pET-59-DEST	attR1,attR2
pET-58-DEST	attR1,attR2
pDEST24	attR1,attR2
pET-DEST42	attR1,attR2
pcDNA-DEST40	attR1,attR2
